Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
52,2023-24,Boise State,22,33,22,11,.667,6650,858,1913,600,1154,258,759,505,686,384,847,1231,404,189,78,366,550,2479,.449,.520,.340,.736,.554,.516
53,2023-24,Northwestern,22,34,22,12,.647,6925,892,1960,614,1247,278,713,431,573,290,778,1068,530,239,106,300,598,2493,.455,.492,.390,.752,.558,.526
54,2023-24,South Dakota State,22,35,22,13,.629,7050,977,2029,677,1206,300,823,421,593,289,951,1240,450,213,112,395,501,2675,.482,.561,.365,.710,.579,.555
55,2023-24,Western Kentucky,22,34,22,12,.647,6806,996,2138,763,1452,233,686,503,699,361,997,1358,454,260,110,470,625,2728,.466,.525,.340,.720,.552,.520
56,2023-24,Wisconsin,22,36,22,14,.611,7275,952,2067,696,1333,256,734,528,699,362,862,1224,458,224,59,358,594,2688,.461,.522,.349,.755,.560,.522
57,2023-24,Long Beach State,21,36,21,15,.583,7250,993,2239,799,1602,194,637,606,855,450,949,1399,550,285,151,455,620,2786,.444,.499,.305,.709,.527,.487
58,2023-24,TCU,21,34,21,13,.618,6900,964,2089,740,1457,224,632,535,732,433,830,1263,575,305,128,438,593,2687,.461,.508,.354,.731,.551,.515
59,2023-24,Texas A&M,21,36,21,15,.583,7250,926,2304,671,1435,255,869,629,890,627,914,1541,412,250,108,346,611,2736,.402,.468,.293,.707,.502,.457
60,2023-24,Texas,21,34,21,13,.618,6825,932,1988,687,1297,245,691,454,600,339,840,1179,512,244,149,393,587,2563,.469,.530,.355,.757,.564,.530
61,2023-24,Grambling State,21,36,21,15,.583,7291,860,1955,675,1408,185,547,531,750,346,812,1158,354,266,115,473,577,2436,.440,.479,.338,.708,.527,.487
62,2023-24,Mississippi State,21,35,21,14,.600,7025,917,2027,666,1246,251,781,508,758,436,897,1333,491,284,107,455,580,2593,.452,.535,.321,.670,.543,.514
63,2023-24,Longwood,21,35,21,14,.600,7100,931,2053,730,1463,201,590,552,804,470,873,1343,446,244,88,444,639,2615,.453,.499,.341,.687,.537,.502
64,2023-24,Michigan State,20,35,20,15,.571,7025,949,2058,722,1432,227,626,426,602,353,862,1215,558,248,132,350,581,2551,.461,.504,.363,.708,.544,.516
65,2023-24,Saint Peter's,19,33,19,14,.576,6625,720,1830,528,1240,192,590,508,713,411,750,1161,350,235,137,414,640,2140,.393,.426,.325,.712,.493,.446
66,2023-24,Howard,18,35,18,17,.514,7100,868,1932,587,1175,281,757,606,807,395,862,1257,485,212,98,541,661,2623,.449,.500,.371,.751,.566,.522
67,2023-24,Montana State,17,35,17,18,.486,7100,941,2012,622,1149,319,863,434,596,237,831,1068,463,289,84,408,647,2635,.468,.541,.370,.728,.574,.547
68,2023-24,Wagner,17,33,17,16,.515,6675,758,1913,520,1186,238,727,349,496,369,814,1183,421,195,76,326,507,2103,.396,.438,.327,.704,.489,.458
