Rk,Season,Team,W,G,W,L,W/L%,Miscellaneous Pace,Miscellaneous ORtg,Miscellaneous DRtg,Team Shooting eFG%,Team Shooting TS%,Team TOV%,Team ORB%,Team DRB%,Team FTr,Opponent Shooting eFG%,Opponent Shooting TS%,Opponent TOV%,Opponent ORB%,Opponent DRB%,Opponent FTr
53,2023-24,Princeton,24,29,24,5,.828,65.8,117.1,101.3,.548,.583,11.0,25.7,76.4,.276,.508,.534,15.1,23.6,74.3,.249
54,2023-24,Quinnipiac,24,34,24,10,.706,71.9,107.2,98.7,.510,.549,15.0,31.6,72.4,.309,.483,.514,15.7,27.6,68.4,.285
55,2023-24,VCU,24,38,24,14,.632,66.2,106.5,100.1,.518,.562,16.1,27.8,73.1,.350,.468,.510,14.6,26.9,72.2,.341
56,2023-24,UAB,23,35,23,12,.657,68.7,111.2,107.8,.501,.546,14.1,35.5,68.9,.400,.508,.540,14.2,31.1,64.5,.309
57,2023-24,Bradley,23,35,23,12,.657,66.9,109.5,99.2,.548,.573,15.8,28.5,72.2,.275,.474,.515,16.1,27.8,71.5,.352
58,2023-24,Brigham Young,23,34,23,11,.676,69.9,116.4,100.0,.548,.573,13.1,32.8,75.4,.254,.482,.515,14.2,24.6,67.2,.320
59,2023-24,Purdue Fort Wayne,23,36,23,13,.639,72.3,110.1,98.3,.544,.568,12.9,23.6,71.3,.293,.506,.538,19.5,28.7,76.4,.320
60,2023-24,Kansas,23,34,23,11,.676,69.9,107.7,99.6,.538,.567,14.9,25.7,73.7,.320,.480,.510,14.5,26.3,74.3,.282
61,2023-24,Kentucky,23,33,23,10,.697,73.9,119.2,106.7,.572,.602,12.6,28.9,69.5,.304,.496,.531,13.6,30.5,71.1,.334
62,2023-24,Loyola Chicago,23,33,23,10,.697,69.3,104.7,96.7,.522,.548,16.1,28.1,75.2,.331,.463,.510,15.9,24.8,71.9,.370
63,2023-24,Nebraska,23,34,23,11,.676,69.4,110.8,101.1,.531,.567,13.9,27.6,69.7,.326,.467,.499,13.8,30.3,72.4,.277
64,2023-24,Richmond,23,33,23,10,.697,67.4,106.2,98.0,.527,.555,11.8,17.3,73.4,.276,.469,.503,14.9,26.6,82.7,.266
65,2023-24,San Francisco,23,34,23,11,.676,68.5,112.7,96.5,.558,.582,14.7,29.5,76.0,.233,.491,.529,18.1,24.0,70.5,.377
66,2023-24,Seattle,23,37,23,14,.622,68.6,105.5,95.4,.512,.548,15.9,29.8,74.9,.341,.461,.501,15.6,25.1,70.2,.350
67,2023-24,Texas Tech,23,34,23,11,.676,67.2,111.7,103.3,.526,.567,14.3,30.3,69.7,.342,.492,.522,14.6,30.3,69.7,.272
68,2023-24,Virginia,23,34,23,11,.676,61.2,101.7,96.6,.486,.506,11.5,25.6,71.9,.253,.466,.502,16.8,28.1,74.4,.258
69,2023-24,Yale,23,33,23,10,.697,66.1,111.2,100.5,.528,.553,12.4,28.9,76.3,.277,.491,.525,14.7,23.7,71.1,.279
70,2023-24,Boise State,22,33,22,11,.667,66.9,111.4,99.8,.516,.554,14.1,34.1,77.8,.359,.495,.530,15.3,22.2,65.9,.319
71,2023-24,Cincinnati,22,37,22,15,.595,68.4,107.8,98.4,.503,.529,14.6,36.3,74.7,.276,.477,.516,15.4,25.3,63.7,.291
72,2023-24,Cornell,22,30,22,8,.733,71.9,114.2,103.9,.572,.594,15.0,28.4,69.1,.273,.510,.532,16.0,30.9,71.6,.320
73,2023-24,Louisiana Tech,22,32,22,10,.688,67.5,109.9,94.9,.520,.556,15.6,34.5,72.1,.410,.451,.490,16.2,27.9,65.5,.316
74,2023-24,UMass Lowell,22,32,22,10,.688,72.6,109.4,96.6,.523,.562,15.7,33.4,73.9,.388,.463,.491,14.1,26.1,66.6,.252
75,2023-24,Memphis,22,32,22,10,.688,72.0,110.9,104.4,.528,.563,15.5,33.4,66.4,.363,.500,.531,16.3,33.6,66.6,.296
76,2023-24,UNC Asheville,22,34,22,12,.647,70.3,111.0,102.8,.536,.576,14.7,28.1,69.0,.410,.489,.524,15.5,31.0,71.9,.327
77,2023-24,Northwestern,22,34,22,12,.647,64.8,111.2,104.7,.526,.558,11.8,25.7,72.2,.292,.515,.553,16.6,27.8,74.3,.393
78,2023-24,Ohio State,22,36,22,14,.611,67.3,110.9,103.1,.510,.551,13.4,31.4,71.5,.337,.486,.519,13.7,28.5,68.6,.299
79,2023-24,Pittsburgh,22,33,22,11,.667,67.0,112.9,101.0,.516,.545,11.5,31.0,76.2,.305,.490,.529,14.8,23.8,69.0,.305
80,2023-24,South Dakota State,22,35,22,13,.629,68.6,110.7,103.0,.555,.579,14.6,25.1,75.4,.292,.503,.534,14.5,24.6,74.9,.257
81,2023-24,Stetson,22,35,22,13,.629,67.5,113.4,108.3,.539,.572,13.6,29.1,69.2,.302,.505,.531,12.2,30.8,70.9,.243
82,2023-24,Utah,22,37,22,15,.595,70.9,110.0,102.2,.543,.559,14.1,27.6,74.2,.271,.488,.514,12.5,25.8,72.4,.259
83,2023-24,Western Carolina,22,32,22,10,.688,68.6,110.7,98.9,.526,.552,12.9,29.5,75.4,.282,.460,.496,12.3,24.6,70.5,.308
84,2023-24,Western Kentucky,22,34,22,12,.647,75.9,105.6,97.9,.520,.552,16.0,29.0,73.4,.327,.480,.512,16.3,26.6,71.0,.320
85,2023-24,Wisconsin,22,36,22,14,.611,66.0,112.0,105.0,.522,.560,13.0,30.2,75.6,.338,.520,.554,15.1,24.4,69.8,.338
