Rk,Season,Team,W,G,W,L,W/L%,Miscellaneous Pace,Miscellaneous ORtg,Miscellaneous DRtg,Team Shooting eFG%,Team Shooting TS%,Team TOV%,Team ORB%,Team DRB%,Team FTr,Opponent Shooting eFG%,Opponent Shooting TS%,Opponent TOV%,Opponent ORB%,Opponent DRB%,Opponent FTr
337,2023-24,Michigan,8,32,8,24,.250,68.9,104.6,113.3,.512,.542,16.1,30.6,69.6,.320,.525,.555,11.9,30.4,69.4,.305
338,2023-24,Missouri,8,32,8,24,.250,68.4,105.0,110.9,.502,.546,14.9,26.8,64.3,.317,.513,.558,15.8,35.7,73.2,.424
339,2023-24,Saint Francis (PA),8,30,8,22,.267,66.7,97.3,108.6,.481,.503,17.5,33.3,68.9,.328,.522,.553,15.3,31.1,66.7,.357
340,2023-24,Southern Indiana,8,32,8,24,.250,69.7,98.1,104.3,.466,.514,16.5,27.6,72.0,.375,.485,.537,15.0,28.0,72.4,.464
341,2023-24,LIU,7,29,7,22,.241,71.3,92.5,106.8,.464,.496,17.8,25.4,71.3,.315,.508,.544,13.9,28.7,74.6,.410
342,2023-24,Loyola (MD),7,32,7,25,.219,65.7,96.4,108.2,.482,.507,17.7,29.5,74.2,.303,.532,.559,13.8,25.8,70.5,.323
343,2023-24,Manhattan,7,30,7,23,.233,69.2,94.4,108.2,.474,.501,16.9,25.0,69.5,.221,.526,.553,14.8,30.5,75.0,.264
344,2023-24,NJIT,7,28,7,21,.250,68.6,99.0,109.4,.454,.492,13.9,29.9,68.0,.315,.522,.554,14.9,32.0,70.1,.392
345,2023-24,North Carolina A&T,7,32,7,25,.219,68.0,96.4,114.6,.439,.482,12.1,24.3,66.0,.340,.545,.566,13.6,34.0,75.7,.295
346,2023-24,Old Dominion,7,32,7,25,.219,71.2,98.8,107.3,.476,.501,13.4,25.5,69.2,.275,.510,.548,15.6,30.8,74.5,.393
347,2023-24,Valparaiso,7,32,7,25,.219,69.3,97.6,109.0,.466,.495,13.9,26.0,69.8,.240,.540,.564,15.6,30.2,74.0,.305
348,2023-24,Dartmouth,6,27,6,21,.222,66.3,93.3,108.4,.477,.507,17.3,21.8,76.0,.292,.531,.552,12.5,24.0,78.2,.230
349,2023-24,Florida A&M,6,29,6,23,.207,69.9,94.5,108.6,.484,.513,18.9,27.6,68.6,.276,.514,.544,14.0,31.4,72.4,.395
350,2023-24,Houston Christian,6,29,6,23,.207,73.4,97.0,113.2,.475,.505,17.8,31.2,67.9,.363,.532,.558,12.2,32.1,68.8,.278
351,2023-24,IUPUI,6,32,6,26,.188,68.8,95.3,115.5,.469,.512,18.5,30.3,65.1,.344,.578,.603,16.9,34.9,69.7,.334
352,2023-24,Pacific,6,32,6,26,.188,69.3,92.7,114.3,.469,.500,15.4,19.0,67.3,.369,.554,.585,14.5,32.7,81.0,.356
353,2023-24,Texas–Rio Grande Valley,6,31,6,25,.194,73.5,95.0,107.7,.463,.508,16.8,24.9,68.1,.404,.527,.561,16.9,31.9,75.1,.339
354,2023-24,Buffalo,4,31,4,27,.129,70.5,96.1,112.6,.477,.509,17.9,28.5,69.8,.275,.539,.564,13.1,30.2,71.5,.287
355,2023-24,Cal Poly,4,32,4,28,.125,66.7,94.3,109.7,.460,.497,16.5,24.5,66.6,.320,.513,.556,15.1,33.4,75.5,.418
356,2023-24,Siena,4,32,4,28,.125,67.1,90.0,110.9,.447,.480,20.0,33.2,68.8,.308,.518,.547,12.7,31.2,66.8,.280
357,2023-24,Stonehill,4,31,4,27,.129,69.2,91.4,109.6,.470,.495,17.5,22.9,68.8,.232,.523,.553,14.7,31.2,77.1,.292
358,2023-24,VMI,4,32,4,28,.125,74.6,92.0,110.3,.477,.505,18.9,25.2,70.7,.267,.533,.553,13.6,29.3,74.8,.300
359,2023-24,DePaul,3,32,3,29,.094,68.4,94.7,119.6,.481,.521,18.0,22.0,67.7,.335,.565,.592,12.6,32.3,78.0,.284
360,2023-24,Coppin State,2,29,2,27,.069,67.4,85.1,107.2,.421,.465,20.1,27.0,61.4,.311,.513,.554,18.4,38.6,73.0,.383
361,2023-24,Detroit Mercy,1,32,1,31,.031,68.0,96.2,117.0,.473,.511,17.1,26.1,64.6,.303,.559,.594,14.9,35.4,73.9,.319
362,2023-24,Mississippi Valley State,1,31,1,30,.032,66.2,83.4,116.8,.425,.461,21.0,27.9,64.3,.330,.556,.588,14.7,35.7,72.1,.416
