Rk,Season,Team,W,G,W,L,W/L%,MP,Team FG,Team FGA,Team 2P,Team 2PA,Team 3P,Team 3PA,Team FT,Team FTA,Team ORB,Team DRB,Team TRB,Team AST,Team STL,Team BLK,Team TOV,Team PF,Team PTS,Opponent FG,Opponent FGA,Opponent 2P,Opponent 2PA,Opponent 3P,Opponent 3PA,Opponent FT,Opponent FTA,Opponent ORB,Opponent DRB,Opponent TRB,Opponent AST,Opponent STL,Opponent BLK,Opponent TOV,Opponent PF,Opponent PTS
50,2023-24,Norfolk State,24,35,24,11,.686,200.7,25.9,56.5,19.6,37.8,6.4,18.7,16.3,22.5,11.0,23.5,34.4,12.5,8.8,3.1,12.1,18.6,74.5,21.8,53.3,13.6,29.3,8.1,24.1,15.9,21.9,10.4,22.7,33.1,13.3,5.9,3.0,15.4,18.4,67.5
51,2023-24,Oakland,24,36,24,12,.667,203.5,26.8,60.2,18.0,35.3,8.8,24.9,13.9,18.5,10.6,25.3,35.9,14.5,6.6,2.8,11.0,15.1,76.4,26.4,60.4,18.1,35.7,8.4,24.7,12.0,16.3,10.3,24.4,34.7,16.5,6.0,3.0,11.2,16.5,73.2
52,2023-24,Oregon,24,36,24,12,.667,201.9,27.3,59.6,20.0,38.0,7.3,21.6,13.7,19.1,9.9,24.5,34.4,13.8,7.2,3.6,10.2,16.4,75.6,25.8,57.2,18.4,36.1,7.4,21.1,13.4,18.5,9.2,24.8,33.9,13.1,5.3,3.5,12.3,17.5,72.3
53,2023-24,Princeton,24,29,24,5,.828,200.0,26.8,58.4,16.3,29.0,10.5,29.4,13.0,16.1,8.4,24.9,33.3,14.6,6.0,1.9,8.2,13.5,77.1,24.8,55.7,17.7,34.0,7.1,21.7,10.0,13.9,7.7,24.3,32.0,12.0,4.7,2.8,11.1,16.1,66.6
54,2023-24,Quinnipiac,24,34,24,10,.706,200.7,27.6,61.4,20.1,40.2,7.5,21.3,14.7,19.0,10.9,26.1,36.9,14.1,7.6,3.7,12.4,16.2,77.4,25.7,61.0,18.1,38.4,7.6,22.6,12.3,17.4,9.9,23.5,33.4,13.2,6.8,4.0,12.9,15.6,71.2
55,2023-24,VCU,24,38,24,14,.632,201.3,23.8,54.2,15.4,30.2,8.5,24.0,14.8,19.0,9.0,26.1,35.2,13.6,6.5,4.4,12.2,16.4,71.0,22.9,56.3,16.1,34.4,6.8,21.9,14.1,19.2,9.6,23.5,33.1,11.3,7.1,2.3,11.2,16.8,66.7
56,2023-24,UAB,23,35,23,12,.657,202.9,26.8,59.6,20.6,40.8,6.1,18.8,17.8,23.8,12.9,25.1,38.0,13.5,6.7,4.5,11.6,15.9,77.5,26.9,60.6,19.3,38.4,7.7,22.3,13.5,18.7,11.3,23.4,34.7,13.2,7.1,4.1,11.5,18.7,75.1
57,2023-24,Bradley,23,35,23,12,.657,202.1,26.9,57.1,18.2,33.3,8.7,23.9,11.4,15.7,9.3,25.4,34.7,13.2,7.1,4.1,12.1,16.5,74.1,23.0,55.9,16.0,34.5,7.0,21.4,14.1,19.7,9.8,23.2,33.0,11.4,6.7,2.1,12.5,15.4,67.1
58,2023-24,Brigham Young,23,34,23,11,.676,200.0,29.2,63.4,18.1,31.4,11.1,32.0,11.9,16.1,11.9,27.6,39.5,18.5,5.9,3.0,10.7,17.7,81.4,25.2,58.9,18.8,38.9,6.4,20.0,13.2,18.9,9.0,24.4,33.4,11.9,6.1,2.4,11.2,15.3,69.9
59,2023-24,Purdue Fort Wayne,23,36,23,13,.639,201.4,29.0,62.0,19.5,35.8,9.4,26.2,12.8,18.2,8.4,24.2,32.6,13.6,9.2,3.1,10.4,17.0,80.2,25.8,57.8,19.0,36.4,6.8,21.4,13.1,18.5,9.8,27.2,36.9,13.0,5.6,3.0,16.1,16.3,71.6
60,2023-24,Kansas,23,34,23,11,.676,200.7,28.2,57.9,22.5,40.6,5.7,17.3,13.4,18.5,8.2,27.9,36.1,19.0,7.1,3.9,11.7,14.8,75.6,24.8,60.4,16.3,35.5,8.5,25.0,11.9,17.0,9.9,23.8,33.7,12.9,6.8,2.8,11.6,16.1,69.9
61,2023-24,Kentucky,23,33,23,10,.697,202.3,32.0,64.6,22.1,40.4,9.9,24.2,15.2,19.7,10.1,27.5,37.6,17.5,7.5,6.3,10.7,17.5,89.0,27.8,64.8,19.2,38.8,8.6,26.0,15.5,21.7,12.1,24.8,36.8,14.5,6.4,3.5,11.8,17.0,79.7
62,2023-24,Loyola Chicago,23,33,23,10,.697,201.5,25.9,57.6,17.6,34.1,8.3,23.5,13.0,19.1,9.6,27.2,36.8,16.6,7.1,5.0,12.8,19.5,73.1,22.6,56.3,15.7,36.1,6.9,20.2,15.3,20.8,9.0,24.6,33.6,11.2,6.7,4.2,12.5,17.2,67.5
63,2023-24,Nebraska,23,34,23,11,.676,202.2,26.8,59.3,17.4,33.1,9.4,26.3,14.7,19.4,9.6,28.1,37.6,15.3,6.3,2.6,11.1,15.9,77.7,25.1,62.8,16.6,36.8,8.5,26.0,12.2,17.4,12.2,25.1,37.3,13.2,6.1,3.7,11.4,16.2,70.9
64,2023-24,Richmond,23,33,23,10,.697,200.8,26.5,57.2,19.2,37.0,7.3,20.2,11.6,15.8,5.7,27.1,32.8,13.2,6.7,2.9,8.6,14.2,71.9,23.7,58.5,16.2,34.7,7.5,23.8,11.4,15.6,9.8,27.3,37.1,11.4,4.6,2.8,11.5,15.1,66.3
65,2023-24,San Francisco,23,34,23,11,.676,201.5,29.3,60.1,20.6,35.9,8.6,24.3,10.6,14.0,9.4,24.7,34.1,16.3,8.2,3.4,11.5,18.3,77.7,22.8,53.4,16.0,33.0,6.8,20.4,14.1,20.1,7.8,22.5,30.3,11.1,5.5,2.0,13.9,14.9,66.5
66,2023-24,Seattle,23,37,23,14,.622,204.1,25.8,57.9,18.2,36.0,7.6,21.9,14.5,19.7,10.1,26.9,37.0,13.0,5.8,2.9,12.7,18.5,73.8,23.5,57.2,17.9,37.7,5.7,19.5,14.0,20.0,9.0,23.7,32.7,11.1,6.5,3.2,12.4,18.2,66.8
67,2023-24,Texas Tech,23,34,23,11,.676,200.7,25.8,57.1,17.3,33.5,8.5,23.6,15.2,19.5,9.9,25.0,34.9,14.7,6.0,2.5,11.1,14.9,75.3,25.4,59.1,18.1,36.3,7.4,22.8,11.5,16.1,10.9,22.9,33.8,12.0,5.9,3.4,11.4,17.1,69.6
68,2023-24,Virginia,23,34,23,11,.676,202.2,23.8,55.5,17.3,37.4,6.5,18.1,8.9,14.0,8.8,23.8,32.6,15.0,7.0,5.0,8.1,13.5,62.9,21.5,53.1,15.1,32.1,6.4,21.0,10.3,13.7,9.3,25.4,34.7,11.2,5.0,3.2,12.0,13.1,59.8
69,2023-24,Yale,23,33,23,10,.697,203.0,27.8,59.7,20.5,38.8,7.3,20.8,11.7,16.5,9.9,26.6,36.5,15.0,6.2,3.2,9.6,15.1,74.7,23.9,56.8,15.8,33.0,8.0,23.8,11.7,15.8,8.3,24.3,32.6,13.7,5.5,3.4,11.1,16.1,67.5
